worker	workers
website	websites
weapon	weapons
violin	violins
vessel	vessels
vegetable	vegetables
van	vans
utensil	utensils
university	universities
tree	trees
tool	tools
television	televisions
team	teams
sweater	sweaters
swan	swans
stool	stools
state	states
star	stars
stamp	stamps
spoon	spoons
spear	spears
sonnet	sonnets
song	songs
sombrero	sombreros
soda	sodas
sock	socks
snake	snakes
snack	snacks
skirt	skirts
singer	singers
shoe	shoes
shirt	shirts
sheet	sheets
senator	senators
seat	seats
sculpture	sculptures
screwdriver	screwdrivers
school	schools
sandal	sandals
rodent	rodents
robin	robins
ring	rings
refrigerator	refrigerators
ranger	rangers
raccoon	raccoons
princess	princesses
prince	princes
preservative	preservatives
pot	pots
porpoise	porpoises
poodle	poodles
politician	politicians
poem	poems
plate	plates
planet	planets
pipeline	pipelines
pig	pigs
piano	pianos
phone	phones
pet	pets
person	person
penny	pennies
pen	pens
opera	operas
novel	novelS
mustang	mustangs
movie	movies
mouse	mice
mineral	minerals
meal	meals
mammal	mammals
lubricant	lubricants
library	libraries
librarian	librarians
laptop	laptops
lamp	lamps
lake	lakes
king	kings
jug	jugs
instrument	instruments
