sulfa	antibacterial
mixologist	employee
smegma	sebum
mineralogist	scientist
rickettsia	eubacteria
grindstone	sharpener
overstress	overstate
mere	pond
steersman	mariner
paleogeography	archeology
fantasist	creator
underclassman	undergraduate
abrogate	abolish
malmsey	madeira
carissa	shrub
diverticulum	hernia
exoticism	foreignness
spendthrift	prodigal
aplomb	composure
draper	trader
phosphorescence	fluorescence
bivalve	mollusk
cycad	gymnosperm
ale	beer
troubadour	singer
lhasa	terrier
spaceman	traveler
acetaminophen	analgesic
foundry	factory
zimbabwean	african
shareowner	investor
porterhouse	beefsteak
darvon	analgesic
listener	perceiver
adrenalin	vasoconstrictor
wisent	bison
pediment	gable
cellulose	polysaccharide
few	elite
vibrio	eubacteria
secretase	enzyme
appellant	litigant
calamagrostis	gramineae
paleoclimatology	archeology
burton	ale
smithy	workplace
ephedrine	bronchodilator
drambuie	liqueur
pratincole	shorebird
teton	sioux
czechoslovak	european
hakeem	muslim
nitwit	simpleton
shiitake	fungus
deceitfulness	disingenuousness
kine	bovine
hohenzollern	dynasty
mexicano	mexican
adjacency	nearness
proteome	protein
herbivore	animal
tsh	hormone
hottentot	khoisan
hangman	executioner
rector	clergyman
chanal	shrub
malian	african
airliner	airplane
avenged	punish
pickpocket	thief
pedicab	tricycle
melatonin	hormone
chlorella	alga
leatherneck	serviceman
barite	mineral
heliport	airport
adelie	penguin
cymbidium	orchid
dork	misfit
folklore	lore
bootlegger	criminal
crudites	appetizer
erotic	sensualist
roustabout	mariner
liposome	vesicle
stridency	timbre
buddleia	shrub
humourist	entertainer
contra	nicaraguan
policeman	lawman
shirtwaist	blouse
aerodrome	airfield
bobby	policeman
pronghorn	ruminant
bart	aristocrat
troubleshooter	repairman
enforcer	assistant
svengali	persuader
pavonia	shrub
groundbreaker	originator
coxsackievirus	enterovirus
rodent	placental
saturday	weekday
gemsbok	oryx
gunrunner	smuggler
fibreboard	wallboard
codeine	opiate
coadjutor	assistant
comply	obey
methotrexate	immunosuppressant
savior	benefactor
evasiveness	untruthfulness
collins	highball
phenolphthalein	laxative
wizardry	creativity
academic	educator
althaea	mallow
playschool	preschool
adrenalin	hormone
pigman	herder
catechin	tannin
phenobarbital	barbiturate
contiguity	nearness
astrologist	forecaster
amphibole	mineral
villager	inhabitant
goddaughter	godchild
medroxyprogesterone	progestin
compatriot	national
bedstead	furniture
dermatomyositis	myositis
sectional	furniture
psilocybin	hallucinogen
frenchman	european
cargo	merchandise
glucosamine	glucose
rectangle	parallelogram
grocer	merchant
