fawn	young
shoebill	bird
shoebill	vertebrate
shoebill	chordate
shoebill	animal
shoebill	organism
melosa	herb
melosa	plant
melosa	actor
melosa	performer
melosa	entertainer
melosa	person
melosa	organism
cobia	fish
cobia	vertebrate
cobia	chordate
cobia	animal
pooch	dog
pooch	chap
pooch	male
deinocheirus	vertebrate
deinocheirus	chordate
deinocheirus	animal
deinocheirus	organism
dillenia	tree
dillenia	plant
dillenia	actor
dillenia	performer
dillenia	entertainer
dillenia	person
dillenia	organism
lory	parrot
lory	copycat
crooner	singer
crooner	musician
mecopteran	animal
mecopteran	organism
laurel-tree	plant
laurel-tree	actor
laurel-tree	performer
laurel-tree	entertainer
laurel-tree	person
laurel-tree	organism
microbe	microorganism
waverer	person
waverer	organism
chaetodon	fish
chaetodon	vertebrate
chaetodon	chordate
chaetodon	animal
largemouth	fish
largemouth	vertebrate
largemouth	chordate
largemouth	animal
ladyfish	fish
ladyfish	vertebrate
ladyfish	chordate
ladyfish	animal
agnate	relative
agnate	person
agnate	organism
major-domo	major-domo
major-domo	servant
bowfin	fish
bowfin	vertebrate
bowfin	chordate
bowfin	animal
cytomegalovirus	virus
cytomegalovirus	microorganism
millet	millet
millet	cereal
nakedwood	person
nakedwood	organism
washerman	worker
washerman	person
washerman	organism
kowhai	tree
kowhai	plant
kowhai	actor
kowhai	performer
kowhai	entertainer
sociolinguist	person
sociolinguist	organism
pawer	person
pawer	organism
salsify	herb
salsify	plant
salsify	actor
salsify	performer
salsify	entertainer
pichiciago	organism
galangal	herb
galangal	plant
galangal	actor
galangal	performer
galangal	entertainer
rivulus	fish
rivulus	vertebrate
rivulus	chordate
rivulus	animal
groupie	fan
groupie	follower
groupie	traveler
admiral	admiral
hero	hero
hydrangea	shrub
dory	fish
hoopoe	bird
hoopoe	vertebrate
hoopoe	chordate
hoopoe	animal
shovelhead	expert
crownbeard	plant
crownbeard	actor
crownbeard	performer
crownbeard	entertainer
crownbeard	person
crownbeard	organism
tortoiseshell	butterfly
tortoiseshell	insect
tortoiseshell	arthropod
tortoiseshell	invertebrate
tortoiseshell	animal
affenpinscher	defender
affenpinscher	preserver
affenpinscher	cook
crappie	fish
neurologist	specialist
neurologist	expert
lacewing	insect
lacewing	arthropod
